Geography Type,Geography Name,Year,Population,Households,Persons Per Household (PPH)
County,Otter Tail,2015,57679.00,24334.00,2.32
County,Pennington,2015,14206.00,5993.00,2.32
County,Pine,2015,29107.00,11336.00,2.41
County,Pipestone,2015,9281.00,4016.00,2.26
County,Polk,2015,31529.00,12732.00,2.38
County,Pope,2015,11016.00,4796.00,2.26
County,Ramsey,2015,533677.00,210222.00,2.45
County,Red Lake,2015,4039.00,1733.00,2.32
County,Redwood,2015,15486.00,6468.00,2.34
County,Renville,2015,14965.00,6340.00,2.3
County,Rice,2015,65420.00,22902.00,2.54
County,Rock,2015,9601.00,3931.00,2.38
County,Roseau,2015,15771.00,6370.00,2.45
County,St. Louis,2015,200381.00,85688.00,2.23
County,Scott,2015,140898.00,48318.00,2.89
County,Sherburne,2015,91895.00,31282.00,2.86
County,Sibley,2015,14884.00,5956.00,2.46
County,Stearns,2015,154446.00,57928.00,2.53
County,Steele,2015,36708.00,14404.00,2.51
County,Stevens,2015,9804.00,3729.00,2.35
County,Swift,2015,9361.00,4159.00,2.21
County,Todd,2015,24255.00,9686.00,2.47
County,Traverse,2015,3405.00,1497.00,2.21
County,Wabasha,2015,21265.00,8804.00,2.39
County,Wadena,2015,13879.00,5753.00,2.33
County,Waseca,2015,18988.00,7294.00,2.42
County,Washington,2015,251015.00,92669.00,2.67
County,Watonwan,2015,10995.00,4487.00,2.42
County,Wilkin,2015,6421.00,2691.00,2.33
County,Winona,2015,51128.00,19835.00,2.36
County,Wright,2015,131361.00,46712.00,2.79
County,Yellow Medicine,2015,9945.00,4167.00,2.31
EDR,01 (Northwest),2015,86050.00,35536.00,2.36
EDR,02 (Headwaters),2015,84735.00,33658.00,2.44
EDR,03 (Arrowhead),2015,326131.00,138942.00,2.25
EDR,04 (West Central),2015,227048.00,93173.00,2.36
EDR,05 (North Central),2015,163119.00,67183.00,2.39
EDR,06E (Southwest Central),2015,116515.00,47005.00,2.43
EDR,06W (Upper MN Valley),2015,43343.00,18776.00,2.26
EDR,07E (East Central),2015,163656.00,62022.00,2.56
EDR,07W (Central),2015,417441.00,151608.00,2.67
EDR,08 (Southwest),2015,117763.00,48234.00,2.38
EDR,09 (South Central),2015,231683.00,92791.00,2.38
EDR,10 (Southeast),2015,502335.00,197948.00,2.45
EDR,11 (7 County Twin Cities),2015,3005419.00,1176655.00,2.5
State,Minnesota,2014,5453218.00,2149023.00,2.47
County,Aitkin,2014,15762.00,7164.00,2.16
County,Anoka,2014,342612.00,125357.00,2.7
County,Becker,2014,33272.00,13620.00,2.41
County,Beltrami,2014,45770.00,17421.00,2.51
County,Benton,2014,39518.00,15598.00,2.47
County,Big Stone,2014,5124.00,2246.00,2.22
County,Blue Earth,2014,65620.00,25499.00,2.41
County,Brown,2014,25463.00,10786.00,2.26
County,Carlton,2014,35576.00,13647.00,2.46
County,Carver,2014,97162.00,34956.00,2.75
County,Cass,2014,28570.00,12004.00,2.36
County,Chippewa,2014,12132.00,5172.00,2.3
County,Chisago,2014,54134.00,19719.00,2.66
County,Clay,2014,61196.00,23363.00,2.47
